course_title,course_organization,course_type,duration(h),course_language,course_rating,course_difficulty,instructor
 Approve Social Media Posts with Zapier and Trello,Coursera Project Network,Split-screen video,2.0,English,4.5,Beginner,Carmen Rojas
 Aprendizaje automático sin código: Azure ML Designer,Coursera Project Network,Split-screen video,2.0,Spanish,4.8,Intermediate,Leire Ahedo
 Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE,Universitat de Barcelona,100% online,14.0,Spanish,4.9,Intermediate,"Montse Gorchs Molist,Natalia Perez de la Ossa,Frances Xavier Jiménez Fabregas"
 Automate Blog Advertisements with Zapier ,Coursera Project Network,Split-screen video,2.0,English,4.2,Intermediate,Carmen Rojas
 Bases de Datos NoSQL en Azure,Coursera Project Network,Split-screen video,2.0,Spanish,3.7,Beginner,Leire Ahedo
 Brand & Content Marketing ,IE Business School,100% online,15.0,English,4.2,Intermediate,Pedro Cifuentes Huertas
 Build an ultimate stock monitoring list using Google Sheets,Coursera Project Network,Split-screen video,1.0,English,3.7,Beginner,Farah yousef
 Cluster Analysis using RCmdr,Coursera Project Network,Split-screen video,1.0,English,4.2,Intermediate,Shalini Gopalkrishnan 
" Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado",IE Business School,100% online,11.0,Spanish,4.9,Beginner,Gayle Allard
 Create a Budget with Google Sheets,Coursera Project Network,Split-screen video,1.0,English,4.8,Mixed,Jamie Schroeder
 Création D'Identité Visuelle En Utilisant Canva,Coursera Project Network,Split-screen video,2.0,French,4.0,Intermediate,Lamia Labello
 Curso Completo de Spark con Databricks (Big Data),Coursera Project Network,Split-screen video,2.0,Spanish,4.0,Advanced,Leire Ahedo
 Debugging support for the Node.js runtime in VScode ,Coursera Project Network,Split-screen video,2.0,English,3.0,Intermediate,Thelina George
 Enhance Organizational Communications with Slack,Coursera Project Network,Split-screen video,2.0,English,4.6,Beginner,Tricia Bagley
 FPGA computing systems: Background knowledge and introductory materials,Politecnico di Milano,100% online,46.0,English,4.6,Beginner,Marco Domenico Santambrogio
 Fundamentals of the Chinese character writing. Part 2,Saint Petersburg State University,100% online,14.0,English,3.5,Beginner,"Somkina Nadezhda,Storozhuk Alexander ,Власова Наталья Николаевна"
 Future Healthcare Payment Models,Northeastern University ,100% online,16.0,English,4.6,Beginner,Rina Vertes
" Get, Shape, Combine and Merge the datasets using Power BI",Coursera Project Network,Split-screen video,2.0,English,3.1,Beginner,Omnya Khaled
 How to create an API request using Postman,Coursera Project Network,Split-screen video,2.0,English,3.5,Intermediate,Thelina George
 IT Security: Defense against the digital dark arts ,Google,100% online,29.0,English,4.8,Beginner,Google Career CertificatesTop Instructor
 Improving Immunity Based on Traditional Eastern Exercises,Shanghai Jiao Tong University,100% online,15.0,English,3.5,Mixed,"Wang Huiru,余建波YU JIANBO"
 Intel® Network Academy - Network Transformation 101,Intel,100% online,18.0,English,4.5,Beginner,Intel Network Academy 
 International Labour Law,Saint Petersburg State University,100% online,15.0,English,4.7,Beginner,"Сыченко Елена Вячеславовна ,Jean-Michel Servais,Bas Rombouts "
 Interview Preparation: STAR Method ,Coursera Project Network,Split-screen video,1.0,English,4.1,Beginner,Shalini Gopalkrishnan 
 Introducción a la aplicación Google Docs,Coursera Project Network,Split-screen video,2.0,Spanish,3.3,Beginner,Marcela Espino
 JavaScript While Loop,Coursera Project Network,Split-screen video,2.0,English,4.9,Intermediate,Judy Richardson
 Job Search Written Tools for Job Interviews,Coursera Project Network,Split-screen video,1.0,English,2.0,Beginner,Dianna Eckford
 Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,The University of Edinburgh,100% online,19.0,English,4.6,Beginner,"Mitchell Green,Dr Simon Fokt"
 L'utilisation optimal de LinkedIn,Coursera Project Network,Split-screen video,2.0,French,2.5,Mixed,Lamia Labello
" Limits for AP®(Calculus AB,BC) & Data Science -with Visuals",Coursera Project Network,Split-screen video,2.0,English,3.3,Intermediate,"Dr. Ashish Dikshit, PHD"
 MYSQL Workbench إنشاء و تصميم قواعد البيانات باستخدام,Coursera Project Network,Split-screen video,1.0,Arabic,2.6,Beginner,Omnya Khaled
