course_id,cantidad
Aboriginal education,4
Access control sscp,3
Accounting analytics,5
Accounting data analytics python,1
Actualizacion manejo diabetes tipo 2,2
Addiction and the brain,6
Addiction treatment,1
Advanced valuation and strategy,3
Agile atlassian jira,3
Ai for everyone,2
Ai for medical diagnosis,1
Ai for medical prognosis,1
Algorithmic toolbox,5
American law,6
Analytics business metrics,6
Analytics excel,6
Anatomy403 1x,2
Animal welfare,6
Antibiotic stewardship,3
Anticorrupcion introduccion,2
Applied data science capstone,3
Aprendiendo a aprender,5
Aprendiendo programar python,4
Arbitration international disputes,3
Arts heritage,5
Astro,6
Attention models in nlp,1
Aulaconstructivista,6
Autism spectrum disorder,6
Autodesk autocad design drafting,2
Autodesk revit architectural design,1
Aws fundamentals addressing security risk,2
Aws fundamentals going cloud native,3
Aws machine learning,2
Basic statistics,5
Batch data pipelines gcp,1
Bayesian statistics,5
Bcg uva darden digital transformation,3
Becoming a veterinarian,6
Beyond the sustainable development goals addressing sustainability and development,1
Big data essentials,4
Big data introduction,5
Big history,6
Biohacking your brains health,3
Bioinformatics,5
Blockchain basics,3
Bootstrap 4,4
Brand,3
Bugs 101,2
Build a computer,5
Building modern python applications on aws,1
Business,5
Business english intro,5
Business model,5
Business transformation google cloud,2
C for everyone,2
C plus plus white,4
Camino excelencia gestion proyectos,5
Cancer,5
Careerdevelopment,5
Cats and dogs,4
Challenging forensic science,2
Change management,2
Chemicals health,5
Child development,4
Childnutrition,6
Childrens rights,4
Ciencia computacao python conceitos,5
Classical sociological theory,6
Classification vector spaces in nlp,1
Clinical data management,5
Clinical research,6
Clinical terminology,5
Clinical trials,5
Clinicalsimulations,2
Cloud azure intro,1
Cloud infrastructure design process,4
Communication strategies virtual age,3
Community organizing,1
Company future management,5
Competencias digitales ofimatica,2
Competencias lab,4
Computational neuroscience,5
Computational thinking problem solving,3
Computer networking,3
Construction project management,5
Contabilidad,5
Contact tracing for covid 19,1
Containerized apps on aws,1
Contemporary art,2
Content marketing,4
Contracts 1,2
Contrats,5
Conversational experiences dialogflow,3
Convolutional neural networks,4
Convolutional neural networks tensorflow,2
Corp sustainability,3
Corporate commercial law part1,3
Corporate finance essentials,5
Corporatestrategy,4
Correccion estilo variaciones,5
Countering terror violent extremism,1
Covid 19 contact tracing for nursing professionals,1
Covid 19 what you need to know,1
Craft of plot,5
Crash course in causality,4
Creative problem solving,6
Creative thinking techniques and tools for success,1
Crypto,5
Cs fundamentals 1,2
Cs fundamentals 2,2
Cultural competence aboriginal sydney,4
Curanderismo plants,2
Customer segmentation prospecting,3
Cybersecurity compliance framework system administration,2
Cybersecurity roles processes operating system security,2
Data analysis with python,3
Data analytics for lean six sigma,4
Data lakes data warehouses gcp,1
Data management,5
Data science k means clustering python,2
Data science methodology,3
Data scientists tools,6
Data visualization tableau,5
Database management,6
Datasciencemathskills,4
Decision making,5
Deep neural network,4
Democracia,6
Dental medicine penn,5
Dentistry101,2
Dermatology,2
Design strategy,3
Develop your musicianship,5
Devops culture and mindset,3
Digital advertising landscape,1
Digital business models,4
Dino101,5
Discrete optimization,5
Diversity inclusion workplace,4
Django database web apps,1
Dog emotion and cognition,6
Droits de lhomme,5
Drug commercialization,4
Drug development,5
Drug discovery,5
Ds,4
Duke behavioral finance,5
Duke programming web,6
Dyslexia difficulties,6
Ecology conservation,3
Effective compliance programs,2
Einstein relativity,5
Elearning,5
Electricity,4
Electronics,5
Embedded software hardware,3
Emt foundations,2
Enfant developpement,2
Engineering health yoga physiology,2
Engineering mechanics statics,6
English composition,5
English principles,6
Enlinea,1
Enterprise architecture,1
Entrepreneur changement,6
Entrepreneurship strategy,2
Entreprise changement climatique,1
Environmental law,6
Epidemic pandemic outbreak,6
Epidemiology,6
Epidemiology tools,1
Epigenetics,2
Equine,3
Erasmus econometrics,6
Essentials global health,5
Estrategia marketing digital,3
Etudier en france,5
European law fundamentals,5
Everyday chinese medicine,4
Everyday excel part 1,1
Everyday excel part 2,1
Everyday parenting,4
Excel advanced,3
Excel aplicado negocios avanzado,4
Excel data analysis,5
Excel data analysis fundamentals,1
Excel essentials,4
Excel intermediate 1,4
Excel intermediate 2,4
Excel para negocios,5
Excel vba for creative problem solving part 1,4
Excellence operationnelle,3
Exploring renewable energy,1
Exposure photography,5
Family planning,5
Fashion design,4
Fe exam,6
Feminism social justice,2
Finance for non finance,5
Finance for non financial managers,4
Finance fundamentals,1
Finance healthcare managers,3
Financial engineering 1,6
Financial markets global,4
Financial planning,4
Finanzas empresariales,6
Finanzas personales,6
Finding purpose and meaning in life,1
Fintechlawandpolicy,3
Fondamentaux negociation,3
Food and health,5
Food beverage management,6
Forensic accounting,5
Forensic science,5
Foundations big data analysis sql,2
Foundations of mindfulness,1
Front end react,3
Fundamental machine learning healthcare,1
Fundamentals of graphic design,6
Fundamentals of reinforcement learning,2
Game development,6
Gamification,6
Gcp big data ml fundamentals,4
Gcp exploring preparing data bigquery,4
Gcp fundamentals,5
Gcp infrastructure core services,4
Gcp infrastructure foundation,4
Gcp infrastructure scaling automation,4
Gender sexuality,4
Genetics evolution,6
Geopolitics europe,5
