course_title,course_organization,course_rating,course_difficulty
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,4.7,Beginner
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,4.7,Intermediate
A Crash Course in Data Science,Johns Hopkins University,4.5,Mixed
A Law Student's Toolkit,Yale University,4.7,Mixed
A Life of Happiness and Fulfillment,Indian School of Business,4.8,Mixed
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,4.7,Beginner
AI For Everyone,deeplearning.ai,4.8,Beginner
AI For Medical Treatment,deeplearning.ai,4.8,Intermediate
AI Foundations for Everyone,IBM,4.7,Beginner
AI for Medical Diagnosis,deeplearning.ai,4.7,Intermediate
AI for Medical Prognosis,deeplearning.ai,4.6,Intermediate
AI for Medicine,deeplearning.ai,4.7,Intermediate
AWS Fundamentals,Amazon Web Services,4.6,Beginner
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,4.3,Beginner
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,4.7,Beginner
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,4.7,Beginner
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,4.5,Intermediate
Aboriginal Worldviews and Education,University of Toronto,4.7,Mixed
Academic English: Writing,"University of California, Irvine",4.7,Beginner
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,4.7,Intermediate
Access Controls,(ISC)²,4.6,Beginner
Accounting Analytics,University of Pennsylvania,4.5,Mixed
Accounting for Decision Making,University of Michigan,4.8,Intermediate
Achieving Personal and Professional Success,University of Pennsylvania,4.7,Beginner
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,4.8,Mixed
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,4.8,Beginner
Advanced Business Analytics,University of Colorado Boulder,4.5,Intermediate
Advanced Data Science with IBM,IBM,4.4,Advanced
Advanced Machine Learning,National Research University Higher School of Economics,4.5,Advanced
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,4.5,Advanced
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,4.7,Advanced
Advertising and Society,Duke University,4.8,Mixed
Age of Cathedrals,Yale University,4.7,Beginner
Agile Development,University of Virginia,4.7,Beginner
Agile Meets Design Thinking,University of Virginia,4.7,Beginner
Agile with Atlassian Jira,Atlassian,4.7,Beginner
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,4.9,Beginner
Algorithmic Toolbox,University of California San Diego,4.7,Intermediate
Algorithms,Stanford University,4.8,Intermediate
Algorithms for Battery Management Systems,University of Colorado System,4.8,Intermediate
American Contract Law I,Yale University,4.9,Beginner
An Introduction to American Law,University of Pennsylvania,4.8,Beginner
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,4.7,Beginner
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",4.6,Beginner
Analysing: Numeric and digital literacies,Macquarie University,4.6,Beginner
Anatomy,University of Michigan,4.8,Beginner
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,4.8,Intermediate
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,4.8,Beginner
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,4.8,Mixed
Android App Development,Vanderbilt University,4.5,Beginner
Animal Behaviour and Welfare,The University of Edinburgh,4.8,Mixed
Antibiotic Stewardship,Stanford University,4.5,Advanced
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,4.8,Beginner
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),4.6,Intermediate
Applied Data Science,IBM,4.6,Beginner
Applied Data Science Capstone,IBM,4.7,Intermediate
Applied Data Science with Python,University of Michigan,4.5,Intermediate
Applied Machine Learning in Python,University of Michigan,4.6,Intermediate
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,4.6,Intermediate
Aprende a programar con Python,Universidad Austral,4.2,Beginner
Aprender,Universidad Nacional Autónoma de México,4.8,Mixed
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,4.9,Beginner
Architecting with Google Cloud Platform 日本語版,Google Cloud,4.5,Intermediate
Architecting with Google Compute Engine,Google Cloud,4.7,Intermediate
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,4.5,Beginner
Arizona State University TESOL,Arizona State University,4.9,Beginner
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,4.8,Mixed
Art & Ideas: Teaching with Themes,The Museum of Modern Art,4.8,Mixed
Arts and Culture Strategy,National Arts Strategies,4.6,Mixed
Arts and Heritage Management,Università Bocconi,4.8,Mixed
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,4.9,Beginner
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,4.7,Mixed
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,4.8,Intermediate
Autism Spectrum Disorder,"University of California, Davis",4.6,Mixed
Autodesk CAD/CAM for Manufacturing,Autodesk,4.8,Intermediate
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,4.8,Intermediate
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,4.7,Advanced
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,4.7,Advanced
BIM Fundamentals for Engineers,National Taiwan University,4.6,Beginner
Basic Statistics,University of Amsterdam,4.6,Beginner
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",4.8,Intermediate
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",4.8,Intermediate
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,4.9,Mixed
Become a Journalist: Report the News!,Michigan State University,4.7,Beginner
Become a Sustainable Business Change Agent,University of Colorado System,4.7,Intermediate
Becoming a Sports Agent,Case Western Reserve University,4.7,Beginner
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,4.8,Beginner
Behavioral Finance,Duke University,4.4,Mixed
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,4.6,Mixed
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,4.5,Beginner
Biohacking Your Brain's Health,Emory University,4.6,Beginner
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,4.4,Beginner
Biostatistics in Public Health,Johns Hopkins University,4.8,Beginner
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,4.8,Intermediate
Blockchain,University at Buffalo,4.6,Intermediate
