course_id,mean_rating
Aboriginal education,4.53
Access control sscp,4.32
Accounting analytics,4.39
Accounting data analytics python,3.5
Actualizacion manejo diabetes tipo 2,4.82
Addiction and the brain,4.56
Addiction treatment,4.92
Advanced valuation and strategy,4.64
Agile atlassian jira,4.7
Ai for everyone,4.85
Ai for medical diagnosis,4.58
Ai for medical prognosis,4.75
Algorithmic toolbox,4.54
American law,4.81
Analytics business metrics,4.55
Analytics excel,3.75
Anatomy403 1x,4.76
Animal welfare,4.75
Antibiotic stewardship,4.17
Anticorrupcion introduccion,4.83
Applied data science capstone,4.57
Aprendiendo a aprender,4.92
Aprendiendo programar python,4.32
Arbitration international disputes,4.84
Arts heritage,4.78
Astro,4.85
Attention models in nlp,3.29
Aulaconstructivista,4.9
Autism spectrum disorder,4.59
Autodesk autocad design drafting,4.86
Autodesk revit architectural design,4.67
Aws fundamentals addressing security risk,4.28
Aws fundamentals going cloud native,4.62
Aws machine learning,4.24
Basic statistics,4.6
Batch data pipelines gcp,4.26
Bayesian statistics,4.47
Bcg uva darden digital transformation,4.79
Becoming a veterinarian,4.72
Beyond the sustainable development goals addressing sustainability and development,4.67
Big data essentials,3.52
Big data introduction,4.53
Big history,4.79
Biohacking your brains health,4.59
Bioinformatics,4.1
Blockchain basics,4.52
Bootstrap 4,4.82
Brand,4.91
Bugs 101,4.96
Build a computer,4.88
Building modern python applications on aws,5.0
Business,4.88
Business english intro,4.78
Business model,4.75
Business transformation google cloud,4.73
C for everyone,4.28
C plus plus white,4.73
Camino excelencia gestion proyectos,4.47
Cancer,4.76
Careerdevelopment,4.88
Cats and dogs,4.72
Challenging forensic science,4.88
Change management,4.53
Chemicals health,4.81
Child development,4.78
Childnutrition,4.78
Childrens rights,4.63
Ciencia computacao python conceitos,4.9
Classical sociological theory,4.88
Classification vector spaces in nlp,4.4
Clinical data management,4.7
Clinical research,4.74
Clinical terminology,4.86
Clinical trials,4.73
Clinicalsimulations,4.83
Cloud azure intro,4.29
Cloud infrastructure design process,4.74
Communication strategies virtual age,4.65
Community organizing,4.53
Company future management,4.82
Competencias digitales ofimatica,4.72
Competencias lab,4.31
Computational neuroscience,4.58
Computational thinking problem solving,4.73
Computer networking,4.62
Construction project management,4.75
Contabilidad,4.7
Contact tracing for covid 19,4.8
Containerized apps on aws,4.32
Contemporary art,4.88
Content marketing,4.36
Contracts 1,4.84
Contrats,4.84
Conversational experiences dialogflow,4.45
Convolutional neural networks,3.85
Convolutional neural networks tensorflow,4.46
Corp sustainability,4.62
Corporate commercial law part1,4.91
Corporate finance essentials,4.82
Corporatestrategy,4.9
Correccion estilo variaciones,4.74
Countering terror violent extremism,4.84
Covid 19 contact tracing for nursing professionals,4.43
