nombre_curso,nivel_del_curso,horas_dedicadas,duracion_del_curso(Semanas),lenguaje,precio(USD),organizacion,cant_estudiantes
How to Learn Online,Principiante,2–3 hours per week,2,Ingles,49.0,edX,124980
Programming for Everybody (Getting Started with Python),Principiante,2–4 hours per week,7,Ingles,49.0,The University of Michigan,293864
CS50's Introduction to Computer Science,Principiante,6–18 hours per week,12,Ingles,90.0,Harvard University,2442271
The Analytics Edge,Intermedio,10–15 hours per week,13,Ingles,199.0,Massachusetts Institute of Technology,129555
Marketing Analytics: Marketing Measurement Strategy,Principiante,5–7 hours per week,4,Ingles,249.0,"University of California, Berkeley",81140
Introduction to Project Management,Principiante,2–3 hours per week,6,Ingles,199.0,University of Adelaide,301793
Leading High-Performing Teams,Intermedio,8–10 hours per week,10,Ingles,5.0,The University of Queensland,32847
The Foundations of Happiness at Work,Principiante,2–3 hours per week,4,Ingles,199.0,"University of California, Berkeley",67073
"Managing Study, Stress and Mental Health at University",Principiante,1–3 hours per week,2,Ingles,49.0,Curtin University,23061
Six Sigma: Define and Measure,Principiante,3–4 hours per week,8,Ingles,99.0,Technische Universität München,92411
Fat Chance: Probability from the Ground Up,Principiante,3–5 hours per week,7,Ingles,49.0,Harvard University,66835
Chasing your Dream: How to End Procrastination and Get a Job You Love,Principiante,2–6 hours per week,5,Ingles,49.0,National Research Nuclear University,44711
Bitcoin and Cryptocurrencies,Principiante,3–5 hours per week,6,Ingles,99.0,"University of California, Berkeley",83398
English Grammar and Style,Principiante,3–4 hours per week,8,Ingles,99.0,The University of Queensland,53260
Ethics in Action,Intermedio,2–4 hours per week,10,Ingles,49.0,SDG Academy,6366
Introduction to FinTech,Principiante,1–3 hours per week,6,Ingles,199.0,University of Hong Kong,72767
Data Science: R Basics,Principiante,1–2 hours per week,8,Ingles,49.0,Harvard University,528782
Python Basics for Data Science,Principiante,2–5 hours per week,5,Ingles,39.0,IBM,228809
The Science of Beer,Principiante,2–4 hours per week,6,Ingles,49.0,Wageningen University & Research,39085
Strategic Social Media Marketing,Avanzado,4–6 hours per week,6,Ingles,399.0,Boston University,103640
CS50's Introduction to Artificial Intelligence with Python,Principiante,10–30 hours per week,7,Ingles,199.0,Harvard University,258006
CS50's Introduction to Game Development,Intermedio,6–9 hours per week,12,Ingles,149.0,Harvard University,346748
Rhetoric: The Art of Persuasive Writing and Public Speaking,Principiante,2–3 hours per week,8,Ingles,99.0,Harvard University,320225
CS50's Web Programming with Python and JavaScript,Intermedio,6–9 hours per week,12,Ingles,90.0,Harvard University,698950
Contract Law: From Trust to Promise to Contract,Intermedio,3–6 hours per week,8,Ingles,125.0,Harvard University,414181
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Principiante,3–5 hours per week,5,Ingles,99.0,Harvard University,380167
Justice,Principiante,3–6 hours per week,12,Ingles,99.0,Harvard University,392588
Data Science: Machine Learning,Principiante,2–4 hours per week,8,Ingles,49.0,Harvard University,276209
Child Protection: Children's Rights in Theory and Practice,Principiante,2–6 hours per week,16,Ingles,99.0,Harvard University,212453
IELTS Academic Test Preparation,Principiante,5–10 hours per week,8,Ingles,99.0,The University of Queensland,1103777
The Architectural Imagination,Principiante,3–5 hours per week,10,Ingles,99.0,Harvard University,406181
TOEFL® Test Preparation: The Insider’s Guide,Principiante,2–4 hours per week,6,Ingles,49.0,Educational Testing Service,1022489
Principles of Biochemistry,Intermedio,4–6 hours per week,15,Ingles,199.0,Harvard University,257600
Using Python for Research,Intermedio,2–4 hours per week,12,Ingles,99.0,Harvard University,262183
Hinduism Through Its Scriptures,Principiante,5–10 hours per week,4,Ingles,99.0,Harvard University,140782
Basic Spanish 1: Getting Started,Principiante,4–5 hours per week,7,Ingles,40.0,Universitat Politècnica de Valencia,400169
The Health Effects of Climate Change,Principiante,3–5 hours per week,7,Ingles,99.0,Harvard University,110024
Inglés básico: conversacional y networking,Principiante,5–8 hours per week,4,Español,49.0,Universidades Anáhuac,79671
Statistics and R,Intermedio,2–4 hours per week,4,Ingles,249.0,Harvard University,314586
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),Principiante,2–3 hours per week,16,Ingles,199.0,Harvard University,145011
Pyramids of Giza: Ancient Egyptian Art and Archaeology,Principiante,2–4 hours per week,8,Ingles,99.0,Harvard University,123870
"PredictionX: Omens, Oracles & Prophecies",Principiante,3–5 hours per week,1,Ingles,25.0,Harvard University,91566
Excel: Fundamentos y herramientas,Principiante,3–4 hours per week,8,Español,50.0,Universitat Politècnica de Valencia,284279
Lessons from Ebola: Preventing the Next Pandemic,Principiante,3–5 hours per week,4,Ingles,49.0,Harvard University,91983
Improving Global Health: Focusing on Quality and Safety,Intermedio,2–4 hours per week,10,Ingles,99.0,Harvard University,127353
CS50 for Lawyers,Principiante,3–6 hours per week,10,Ingles,99.0,Harvard University,87336
Data Science: Visualization,Principiante,1–2 hours per week,8,Ingles,49.0,Harvard University,171258
Christianity Through Its Scriptures,Principiante,5–10 hours per week,4,Ingles,99.0,Harvard University,125051
The Science of Happiness,Principiante,4–5 hours per week,11,Ingles,169.0,"University of California, Berkeley",475614
Leaders of Learning,Principiante,2–4 hours per week,10,Ingles,99.0,Harvard University,231131
Exercising Leadership: Foundational Principles,Principiante,2–3 hours per week,4,Ingles,99.0,Harvard University,57814
Data Science: Probability,Principiante,1–2 hours per week,8,Ingles,49.0,Harvard University,135859
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Intermedio,1–2 hours per week,10,Ingles,70.0,Harvard University,117410
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",Principiante,2–5 hours per week,8,Ingles,99.0,Harvard University,80082
Introduction to Family Engagement in Education,Principiante,2–4 hours per week,6,Ingles,70.0,Harvard University,105146
Italian Language and Culture: Beginner (2019-2020),Principiante,2–5 hours per week,12,Italiano,49.0,Wellesley College,182462
Steps in Japanese for Beginners1 Part1,Principiante,3–5 hours per week,5,Ingles,49.0,Waseda University,53630
How to Write an Essay,Principiante,5–6 hours per week,5,Ingles,49.0,"University of California, Berkeley",306787
Energy Within Environmental Constraints,Principiante,3–5 hours per week,10,Ingles,99.0,Harvard University,95324
Introduction to Probability,Intermedio,5–10 hours per week,10,Ingles,99.0,Harvard University,97291
AnatomyX: Musculoskeletal Cases,Intermedio,3–6 hours per week,7,Ingles,99.0,Harvard University,102075
Data Science: Inference and Modeling,Principiante,1–2 hours per week,8,Ingles,49.0,Harvard University,88256
Strengthening Community Health Worker Programs,Principiante,2–4 hours per week,6,Ingles,79.0,Harvard University,58626
Buddhism Through Its Scriptures,Principiante,5–10 hours per week,4,Ingles,99.0,Harvard University,182295
Introduction to Linux,Principiante,5–7 hours per week,14,Ingles,199.0,The Linux Foundation,642088
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",Principiante,1–2 hours per week,10,Ingles,99.0,Harvard University,81221
Shakespeare's Life and Work,Principiante,5–7 hours per week,4,Ingles,49.0,Harvard University,48938
Marketing Digital: Content & Community Manager,Principiante,3–4 hours per week,5,Español,49.0,Universidad Galileo,112623
