nombre_curso,price(USD),cant_suscriptores,cant_opiniones,cant_lecciones,nivel,valoracion,duracion_curso,categoria,Free/Paid,fecha_curso,año
Bitcoin or How I Learned to Stop Worrying and Love Crypto,0.0,65576,936,24,Mixto,2.8000000000000003,8.0,Negocios y Finanzas,Free,2013-04-20,2013
Accounting in 60 Minutes - A Brief Introduction,0.0,56659,4397,16,Principiante,4.75,1.5,Negocios y Finanzas,Free,2013-04-07,2013
Stock Market Investing for Beginners,0.0,50855,2698,15,Mixto,4.55,1.5,Negocios y Finanzas,Free,2013-12-25,2013
Introduction to Financial Modeling,0.0,29167,1463,8,Mixto,0.8999999999999999,1.5,Negocios y Finanzas,Free,2014-05-27,2014
The Complete Financial Analyst Course 2017,195.0,24481,2347,174,Mixto,1.85,10.0,Negocios y Finanzas,Paid,2016-01-21,2016
Forex Basics,0.0,22344,712,26,Mixto,4.45,3.5,Negocios y Finanzas,Free,2013-10-16,2013
Beginner to Pro in Excel: Financial Modeling and Valuation,195.0,22257,2697,138,Intermedio,0.65,7.5,Negocios y Finanzas,Paid,2014-11-25,2014
Black Algo Trading: Build Your Trading Robot,200.0,20195,1113,227,Mixto,1.05,16.0,Negocios y Finanzas,Paid,2014-10-27,2014
Financial Analysis: A Recipe for Success,0.0,19614,635,14,Mixto,1.5,1.5,Negocios y Finanzas,Free,2014-04-23,2014
Stock Market Foundations,0.0,19339,794,9,Mixto,4.45,2.0,Negocios y Finanzas,Free,2014-03-31,2014
Financial Accounting - A Brief Introduction,0.0,17847,1440,17,Intermedio,1.7000000000000002,1.0,Negocios y Finanzas,Free,2016-02-24,2016
Fundamentals of Forex Trading,0.0,17160,620,23,Principiante,3.4499999999999997,1.0,Negocios y Finanzas,Free,2014-08-29,2014
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195.0,16900,2476,52,Principiante,0.8,5.5,Negocios y Finanzas,Paid,2014-12-12,2014
Learn to Trade for Profit:Trading with Japanese Candlesticks,60.0,16385,273,45,Principiante,3.9000000000000004,3.0,Negocios y Finanzas,Paid,2014-09-02,2014
Options Trading Introduction: Day Trade Stock Options,95.0,12394,218,30,Mixto,1.25,2.5,Negocios y Finanzas,Paid,2015-02-20,2015
Introduction to Digital Payments,0.0,12217,351,17,Mixto,2.05,1.0,Negocios y Finanzas,Free,2014-04-29,2014
Introduction to Accounting: The Language of Business,20.0,11958,370,134,Mixto,4.050000000000001,11.5,Negocios y Finanzas,Paid,2014-10-02,2014
Corporate Finance - A Brief Introduction,0.0,11724,649,17,Mixto,4.050000000000001,1.5,Negocios y Finanzas,Free,2016-03-04,2016
CPA 101: How To Master Affiliate Marketing In No Time,100.0,11517,92,21,Mixto,4.050000000000001,1.5,Negocios y Finanzas,Paid,2013-11-09,2013
"Introduction to Finance, Accounting, Modeling and Valuation",200.0,11441,1118,61,Mixto,4.050000000000001,4.5,Negocios y Finanzas,Paid,2016-06-28,2016
Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,0.0,10670,444,15,Mixto,4.050000000000001,1.0,Negocios y Finanzas,Free,2016-03-03,2016
Learn to Trade for Profit: Find and Trade Winning Stocks,95.0,10605,71,77,Mixto,4.050000000000001,3.0,Negocios y Finanzas,Paid,2014-10-24,2014
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200.0,10603,872,42,Mixto,4.050000000000001,5.5,Negocios y Finanzas,Paid,2014-10-12,2014
Beginners Binary Options Course,0.0,10540,799,14,Mixto,4.050000000000001,1.5,Negocios y Finanzas,Free,2014-04-27,2014
Finance - Ratios Analysis & Interpretations,30.0,10338,52,41,Principiante,4.050000000000001,2.5,Negocios y Finanzas,Paid,2013-10-23,2013
Create A Business From Home Trading Stocks Today In 2017,75.0,10149,83,16,Mixto,4.050000000000001,2.0,Negocios y Finanzas,Paid,2015-05-26,2015
Options Trading Basics (3-Course Bundle),180.0,10100,985,45,Mixto,4.050000000000001,11.0,Negocios y Finanzas,Paid,2013-02-25,2013
Accounting & Financial Statement Analysis: Complete Training,150.0,10042,594,43,Principiante,4.050000000000001,3.0,Negocios y Finanzas,Paid,2015-10-22,2015
Improve Your Financial Literacy,0.0,9995,96,10,Mixto,4.050000000000001,2.0,Negocios y Finanzas,Free,2014-02-10,2014
Forex Trading For Beginners,0.0,9483,183,22,Mixto,4.050000000000001,2.0,Negocios y Finanzas,Free,2016-01-14,2016
Stock Trading Ninja: Complete System For Trading Success,155.0,9445,497,38,Principiante,4.050000000000001,4.5,Negocios y Finanzas,Paid,2014-02-19,2014
Trading Penny Stocks: A Guide for All Levels In 2017,150.0,9221,138,25,Mixto,4.050000000000001,3.0,Negocios y Finanzas,Paid,2014-05-02,2014
How to Pick The Right Penny Stocks To Invest In 2017,150.0,9015,65,23,Mixto,4.050000000000001,2.5,Negocios y Finanzas,Paid,2014-07-01,2014
Hedge Fund Trading System,0.0,8985,584,12,Avanzado,4.050000000000001,1.0,Negocios y Finanzas,Free,2015-03-06,2015
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45.0,8797,449,80,Mixto,4.050000000000001,6.5,Negocios y Finanzas,Paid,2015-01-09,2015
The Complete Investment Banking Course 2017,195.0,8575,809,110,Intermedio,4.050000000000001,5.5,Negocios y Finanzas,Paid,2016-10-10,2016
Dividend Investing: Build Your Portfolio for a Better Future,60.0,8314,83,47,Principiante,4.050000000000001,4.0,Negocios y Finanzas,Paid,2015-01-24,2015
The Advanced Forex Course for Smart Traders,0.0,8236,144,25,Mixto,4.050000000000001,5.0,Negocios y Finanzas,Free,2015-10-09,2015
Excel Crash Course: Master Excel for Financial Analysis,105.0,8121,689,40,Principiante,1.45,3.5,Negocios y Finanzas,Paid,2016-10-18,2016
Financial Statements Made Easy,95.0,8095,249,12,Mixto,0.8999999999999999,0.5833333333,Negocios y Finanzas,Paid,2013-06-09,2013
Algorithmic Trading In Forex: Create Your First Forex Robot!,185.0,7941,713,40,Avanzado,1.1,6.5,Negocios y Finanzas,Paid,2014-08-11,2014
